Date,Nibbs Creek
1996-10-15,7.39
1997-05-16,7.81
1997-10-07,1.38
1998-09-14,0.551
1998-09-23,1.58
1999-05-13,3.00
1999-06-08,1.46
1999-08-10,0.040
2000-05-10,4.14
2001-05-10,4.36
2003-01-10,6.25
2003-03-19,7.46
2003-06-25,9.15
2003-10-02,9.02
2003-11-25,11.8
